I,T,Uraw
0.0005,309.763,1.82873
0.0005,305.043,1.82854
0.0005,299.929,1.8255
0.0005,294.966,1.82441
0.0005,289.966,1.82571
0.0005,284.951,1.82774
0.0005,279.885,1.8303
0.0005,274.874,1.83406
0.0005,269.91,1.83854
0.0005,264.984,1.84373
0.0005,259.877,1.85045
0.0005,254.992,1.85801
0.0005,249.877,1.86664
0.0005,244.884,1.87584
0.0005,239.884,1.88687
0.0005,234.869,1.89903
0.0005,229.867,1.9121
0.0005,224.877,1.92692
0.0005,219.876,1.94372
0.0005,215.011,1.96079
0.0005,209.867,1.98201
0.0005,204.989,2.00357
0.0005,200.027,2.02677
0.00049,309.763,1.79379
0.00049,305.043,1.79359
0.00049,299.929,1.79066
0.00049,294.966,1.78946
0.00049,289.966,1.79087
0.00049,284.951,1.79297
0.00049,279.885,1.79543
0.00049,274.874,1.79921
0.00049,269.91,1.80368
0.00049,264.984,1.80878
0.00049,259.877,1.81537
0.00049,254.992,1.82273
0.00049,249.877,1.83127
0.00049,244.884,1.8403
0.00049,239.884,1.85112
0.00049,234.869,1.86338
0.00049,229.867,1.87621
0.00049,224.877,1.89061
0.00049,219.876,1.90723
0.00049,215.011,1.92376
0.00049,209.867,1.94489
0.00049,204.989,1.96615
0.00049,200.027,1.98894
0.00048,309.763,1.75912
0.00048,305.043,1.75892
0.00048,299.929,1.75602
0.00048,294.966,1.75492
0.00048,289.966,1.75622
0.00048,284.951,1.75839
0.00048,279.885,1.76087
0.00048,274.874,1.76458
0.00048,269.91,1.76928
0.00048,264.984,1.77399
0.00048,259.877,1.78049
0.00048,254.992,1.78779
0.00048,249.877,1.79627
0.00048,244.884,1.80497
0.00048,239.884,1.81577
0.00048,234.869,1.82789
0.00048,229.867,1.84055
0.00048,224.877,1.85507
0.00048,219.876,1.87115
0.00048,215.011,1.88772
0.00048,209.867,1.90823
0.00048,204.989,1.92937
0.00048,200.027,1.95148
0.00047,309.763,1.72466
0.00047,305.043,1.7243
0.00047,299.929,1.72165
0.00047,294.966,1.72047
0.00047,289.966,1.72177
0.00047,284.951,1.724
0.00047,279.885,1.72633
0.00047,274.874,1.73024
0.00047,269.91,1.73461
0.00047,264.984,1.73932
0.00047,259.877,1.74579
0.00047,254.992,1.75296
0.00047,249.877,1.76119
0.00047,244.884,1.76989
0.00047,239.884,1.78047
0.00047,234.869,1.79241
0.00047,229.867,1.80488
0.00047,224.877,1.81962
0.00047,219.876,1.83537
0.00047,215.011,1.85169
0.00047,209.867,1.87133
0.00047,204.989,1.89232
0.00047,200.027,1.91444
0.00046,309.763,1.68996
0.00046,305.043,1.6897
0.00046,299.929,1.68702
0.00046,294.966,1.68591
0.00046,289.966,1.68723
0.00046,284.951,1.68948
0.00046,279.885,1.69175
0.00046,274.874,1.69572
0.00046,269.91,1.70006
0.00046,264.984,1.70467
0.00046,259.877,1.7111
0.00046,254.992,1.71822
0.00046,249.877,1.72613
0.00046,244.884,1.73469
0.00046,239.884,1.74493
0.00046,234.869,1.75695
0.00046,229.867,1.76926
0.00046,224.877,1.78369
0.00046,219.876,1.79925
0.00046,215.011,1.81531
0.00046,209.867,1.8349
0.00046,204.989,1.85547
0.00046,200.027,1.87714
0.00045,309.763,1.65524
0.00045,305.043,1.655
0.00045,299.929,1.65243
0.00045,294.966,1.6513
0.00045,289.966,1.65266
0.00045,284.951,1.65486
0.00045,279.885,1.65721
0.00045,274.874,1.66104
0.00045,269.91,1.66551
0.00045,264.984,1.67002
0.00045,259.877,1.67613
0.00045,254.992,1.68329
0.00045,249.877,1.6912
0.00045,244.884,1.69961
0.00045,239.884,1.70952
0.00045,234.869,1.72136
0.00045,229.867,1.73339
0.00045,224.877,1.74778
0.00045,219.876,1.76327
0.00045,215.011,1.77907
0.00045,209.867,1.79868
0.00045,204.989,1.81852
0.00045,200.027,1.8399
0.00044,309.763,1.62053
0.00044,305.043,1.6202
0.00044,299.929,1.61771
0.00044,294.966,1.6167
0.00044,289.966,1.6181
0.00044,284.951,1.62021
0.00044,279.885,1.6225
0.00044,274.874,1.62631
0.00044,269.91,1.63081
0.00044,264.984,1.63503
0.00044,259.877,1.64126
0.00044,254.992,1.64825
0.00044,249.877,1.65598
0.00044,244.884,1.66421
0.00044,239.884,1.67408
0.00044,234.869,1.68554
0.00044,229.867,1.6976
0.00044,224.877,1.71186
0.00044,219.876,1.72688
0.00044,215.011,1.74258
0.00044,209.867,1.76178
0.00044,204.989,1.78174
0.00044,200.027,1.802
0.00043,309.763,1.5856
0.00043,305.043,1.58531
0.00043,299.929,1.58304
0.00043,294.966,1.58195
0.00043,289.966,1.58337
0.00043,284.951,1.58543
0.00043,279.885,1.58774
0.00043,274.874,1.59153
0.00043,269.91,1.59587
0.00043,264.984,1.6001
0.00043,259.877,1.6063
0.00043,254.992,1.61289
0.00043,249.877,1.6208
0.00043,244.884,1.6289
0.00043,239.884,1.63857
0.00043,234.869,1.64993
0.00043,229.867,1.6616
0.00043,224.877,1.67554
0.00043,219.876,1.69032
0.00043,215.011,1.70604
0.00043,209.867,1.72503
0.00043,204.989,1.74447
0.00043,200.027,1.76456
0.00042,309.763,1.55071
0.00042,305.043,1.55032
0.00042,299.929,1.54825
0.00042,294.966,1.54714
0.00042,289.966,1.54866
0.00042,284.951,1.55056
0.00042,279.885,1.55295
0.00042,274.874,1.55669
0.00042,269.91,1.56105
0.00042,264.984,1.56546
0.00042,259.877,1.57116
0.00042,254.992,1.5777
0.00042,249.877,1.58535
0.00042,244.884,1.59341
0.00042,239.884,1.60322
0.00042,234.869,1.61411
0.00042,229.867,1.62574
0.00042,224.877,1.63936
0.00042,219.876,1.65411
0.00042,215.011,1.66933
0.00042,209.867,1.68793
0.00042,204.989,1.70692
0.00042,200.027,1.72689
0.00041,309.763,1.51581
0.00041,305.043,1.51539
0.00041,299.929,1.51338
0.00041,294.966,1.51227
0.00041,289.966,1.51381
0.00041,284.951,1.51576
0.00041,279.885,1.51817
0.00041,274.874,1.52169
0.00041,269.91,1.52596
0.00041,264.984,1.53043
0.00041,259.877,1.53603
0.00041,254.992,1.54232
0.00041,249.877,1.54994
0.00041,244.884,1.55835
0.00041,239.884,1.56755
0.00041,234.869,1.5783
0.00041,229.867,1.58969
0.00041,224.877,1.60289
0.00041,219.876,1.61751
0.00041,215.011,1.63235
0.00041,209.867,1.6506
0.00041,204.989,1.66914
0.00041,200.027,1.68864
0.0004,309.763,1.48084
0.0004,305.043,1.48041
0.0004,299.929,1.47841
0.0004,294.966,1.47732
0.0004,289.966,1.47881
0.0004,284.951,1.48085
0.0004,279.885,1.48313
0.0004,274.874,1.48677
0.0004,269.91,1.49089
0.0004,264.984,1.49527
0.0004,259.877,1.50091
0.0004,254.992,1.50694
0.0004,249.877,1.51462
0.0004,244.884,1.52264
0.0004,239.884,1.53176
0.0004,234.869,1.54235
0.0004,229.867,1.55355
0.0004,224.877,1.56637
0.0004,219.876,1.58082
0.0004,215.011,1.59513
0.0004,209.867,1.61307
0.0004,204.989,1.63142
0.0004,200.027,1.65084
0.00039,309.763,1.44588
0.00039,305.043,1.44534
0.00039,299.929,1.4433
0.00039,294.966,1.44239
0.00039,289.966,1.4438
0.00039,284.951,1.44583
0.00039,279.885,1.44801
0.00039,274.874,1.45176
0.00039,269.91,1.45567
0.00039,264.984,1.46
0.00039,259.877,1.46556
0.00039,254.992,1.47148
0.00039,249.877,1.47897
0.00039,244.884,1.48696
0.00039,239.884,1.49575
0.00039,234.869,1.50617
0.00039,229.867,1.51729
0.00039,224.877,1.52994
0.00039,219.876,1.54386
0.00039,215.011,1.55796
0.00039,209.867,1.57547
0.00039,204.989,1.59345
0.00039,200.027,1.61248
0.00038,309.763,1.41074
0.00038,305.043,1.41022
0.00038,299.929,1.40821
0.00038,294.966,1.40742
0.00038,289.966,1.40878
0.00038,284.951,1.4109
0.00038,279.885,1.41291
0.00038,274.874,1.41634
0.00038,269.91,1.42044
0.00038,264.984,1.42458
0.00038,259.877,1.43007
0.00038,254.992,1.43597
0.00038,249.877,1.44338
0.00038,244.884,1.45111
0.00038,239.884,1.45977
0.00038,234.869,1.4699
0.00038,229.867,1.48061
0.00038,224.877,1.49319
0.00038,219.876,1.50664
0.00038,215.011,1.52058
0.00038,209.867,1.53775
0.00038,204.989,1.55535
0.00038,200.027,1.5739
0.00037,309.763,1.37531
0.00037,305.043,1.37484
0.00037,299.929,1.37308
0.00037,294.966,1.37219
0.00037,289.966,1.3735
0.00037,284.951,1.37572
0.00037,279.885,1.3776
0.00037,274.874,1.38095
0.00037,269.91,1.38499
0.00037,264.984,1.38904
0.00037,259.877,1.39452
0.00037,254.992,1.40018
0.00037,249.877,1.40744
0.00037,244.884,1.41512
0.00037,239.884,1.42377
0.00037,234.869,1.43346
0.00037,229.867,1.44401
0.00037,224.877,1.45615
0.00037,219.876,1.4694
0.00037,215.011,1.48299
0.00037,209.867,1.4998
0.00037,204.989,1.51719
0.00037,200.027,1.53544
0.00036,309.763,1.34001
0.00036,305.043,1.3394
0.00036,299.929,1.33782
0.00036,294.966,1.33696
0.00036,289.966,1.33818
0.00036,284.951,1.3403
0.00036,279.885,1.34221
0.00036,274.874,1.34546
0.00036,269.91,1.34955
0.00036,264.984,1.3534
0.00036,259.877,1.35875
0.00036,254.992,1.36449
0.00036,249.877,1.37155
0.00036,244.884,1.379
0.00036,239.884,1.38741
0.00036,234.869,1.39693
0.00036,229.867,1.40724
0.00036,224.877,1.41896
0.00036,219.876,1.43216
0.00036,215.011,1.44537
0.00036,209.867,1.46187
0.00036,204.989,1.47881
0.00036,200.027,1.49689
0.00035,309.763,1.30462
0.00035,305.043,1.30391
0.00035,299.929,1.3025
0.00035,294.966,1.30157
0.00035,289.966,1.30277
0.00035,284.951,1.30496
0.00035,279.885,1.30667
0.00035,274.874,1.30987
0.00035,269.91,1.31394
0.00035,264.984,1.31774
0.00035,259.877,1.32295
0.00035,254.992,1.32852
0.00035,249.877,1.33556
0.00035,244.884,1.34274
0.00035,239.884,1.351
0.00035,234.869,1.36023
0.00035,229.867,1.37032
0.00035,224.877,1.38179
0.00035,219.876,1.39469
0.00035,215.011,1.40759
0.00035,209.867,1.42375
0.00035,204.989,1.4402
0.00035,200.027,1.45788
0.00034,309.763,1.2691
0.00034,305.043,1.26833
0.00034,299.929,1.26705
0.00034,294.966,1.26603
0.00034,289.966,1.26736
0.00034,284.951,1.26946
0.00034,279.885,1.27106
0.00034,274.874,1.27417
0.00034,269.91,1.27805
0.00034,264.984,1.28189
0.00034,259.877,1.28699
0.00034,254.992,1.29247
0.00034,249.877,1.29927
0.00034,244.884,1.30632
0.00034,239.884,1.31442
0.00034,234.869,1.32346
0.00034,229.867,1.33338
0.00034,224.877,1.34457
0.00034,219.876,1.35707
0.00034,215.011,1.36974
0.00034,209.867,1.38544
0.00034,204.989,1.40156
0.00034,200.027,1.41887
0.00033,309.763,1.23334
0.00033,305.043,1.23264
0.00033,299.929,1.23147
0.00033,294.966,1.23048
0.00033,289.966,1.23173
0.00033,284.951,1.2339
0.00033,279.885,1.23533
0.00033,274.874,1.23835
0.00033,269.91,1.2422
0.00033,264.984,1.24593
0.00033,259.877,1.251
0.00033,254.992,1.25624
0.00033,249.877,1.26291
0.00033,244.884,1.26981
0.00033,239.884,1.2777
0.00033,234.869,1.28662
0.00033,229.867,1.29617
0.00033,224.877,1.30712
0.00033,219.876,1.31935
0.00033,215.011,1.3317
0.00033,209.867,1.34701
0.00033,204.989,1.36281
0.00033,200.027,1.37964
0.00032,309.763,1.1976
0.00032,305.043,1.1968
0.00032,299.929,1.19568
0.00032,294.966,1.19471
0.00032,289.966,1.19606
0.00032,284.951,1.19812
0.00032,279.885,1.1996
0.00032,274.874,1.20245
0.00032,269.91,1.20628
0.00032,264.984,1.20987
0.00032,259.877,1.21475
0.00032,254.992,1.21992
0.00032,249.877,1.22637
0.00032,244.884,1.23315
0.00032,239.884,1.24092
0.00032,234.869,1.24957
0.00032,229.867,1.25891
0.00032,224.877,1.26955
0.00032,219.876,1.2815
0.00032,215.011,1.29362
0.00032,209.867,1.30837
0.00032,204.989,1.32373
0.00032,200.027,1.34035
0.00031,309.763,1.16183
0.00031,305.043,1.16089
0.00031,299.929,1.15978
0.00031,294.966,1.1589
0.00031,289.966,1.16015
0.00031,284.951,1.1622
0.00031,279.885,1.16353
0.00031,274.874,1.16642
0.00031,269.91,1.17024
0.00031,264.984,1.17369
0.00031,259.877,1.17848
0.00031,254.992,1.18353
0.00031,249.877,1.18976
0.00031,244.884,1.19639
0.00031,239.884,1.20406
0.00031,234.869,1.21244
0.00031,229.867,1.22147
0.00031,224.877,1.23188
0.00031,219.876,1.24354
0.00031,215.011,1.25533
0.00031,209.867,1.26973
0.00031,204.989,1.2847
0.00031,200.027,1.30086
0.0003,309.763,1.126
0.0003,305.043,1.12516
0.0003,299.929,1.12393
0.0003,294.966,1.12309
0.0003,289.966,1.12426
0.0003,284.951,1.12624
0.0003,279.885,1.12743
0.0003,274.874,1.13032
0.0003,269.91,1.13403
0.0003,264.984,1.1373
0.0003,259.877,1.14199
0.0003,254.992,1.14687
0.0003,249.877,1.15307
0.0003,244.884,1.15947
0.0003,239.884,1.16696
0.0003,234.869,1.17513
0.0003,229.867,1.18402
0.0003,224.877,1.19394
0.0003,219.876,1.20544
0.0003,215.011,1.21688
0.0003,209.867,1.23085
0.0003,204.989,1.24556
0.0003,200.027,1.26123
0.00029,309.763,1.09006
0.00029,305.043,1.08908
0.00029,299.929,1.08799
0.00029,294.966,1.08698
0.00029,289.966,1.08822
0.00029,284.951,1.09007
0.00029,279.885,1.09126
0.00029,274.874,1.09409
0.00029,269.91,1.09773
0.00029,264.984,1.101
0.00029,259.877,1.10539
0.00029,254.992,1.11021
0.00029,249.877,1.11631
0.00029,244.884,1.12247
0.00029,239.884,1.12981
0.00029,234.869,1.1379
0.00029,229.867,1.14627
0.00029,224.877,1.15607
0.00029,219.876,1.16713
0.00029,215.011,1.17822
0.00029,209.867,1.19198
0.00029,204.989,1.20617
0.00029,200.027,1.22142
0.00028,309.763,1.05403
0.00028,305.043,1.05284
0.00028,299.929,1.05174
0.00028,294.966,1.05077
0.00028,289.966,1.05214
0.00028,284.951,1.05398
0.00028,279.885,1.05493
0.00028,274.874,1.05773
0.00028,269.91,1.06135
0.00028,264.984,1.06443
0.00028,259.877,1.06872
0.00028,254.992,1.07359
0.00028,249.877,1.07934
0.00028,244.884,1.08517
0.00028,239.884,1.09236
0.00028,234.869,1.10024
0.00028,229.867,1.10842
0.00028,224.877,1.1181
0.00028,219.876,1.12856
0.00028,215.011,1.13944
0.00028,209.867,1.1528
0.00028,204.989,1.16662
0.00028,200.027,1.18145
0.00027,309.763,1.01779
0.00027,305.043,1.01678
0.00027,299.929,1.01548
0.00027,294.966,1.01487
0.00027,289.966,1.01612
0.00027,284.951,1.01764
0.00027,279.885,1.01847
0.00027,274.874,1.02124
0.00027,269.91,1.02485
0.00027,264.984,1.02769
0.00027,259.877,1.03232
0.00027,254.992,1.0369
0.00027,249.877,1.04244
0.00027,244.884,1.04786
0.00027,239.884,1.05483
0.00027,234.869,1.06265
0.00027,229.867,1.07037
0.00027,224.877,1.07975
0.00027,219.876,1.09007
0.00027,215.011,1.10049
0.00027,209.867,1.11353
0.00027,204.989,1.12691
0.00027,200.027,1.14133
0.00026,309.763,0.981293
0.00026,305.043,0.98067
0.00026,299.929,0.979396
0.00026,294.966,0.978681
0.00026,289.966,0.979905
0.00026,284.951,0.981232
0.00026,279.885,0.981928
0.00026,274.874,0.984827
0.00026,269.91,0.988135
0.00026,264.984,0.991105
0.00026,259.877,0.995423
0.00026,254.992,0.999858
0.00026,249.877,1.00565
0.00026,244.884,1.01039
0.00026,239.884,1.01725
0.00026,234.869,1.02479
0.00026,229.867,1.0323
0.00026,224.877,1.04131
0.00026,219.876,1.05143
0.00026,215.011,1.06186
0.00026,209.867,1.07413
0.00026,204.989,1.08694
0.00026,200.027,1.10102
0.00025,309.763,0.944669
0.00025,305.043,0.944327
0.00025,299.929,0.942983
0.00025,294.966,0.942434
0.00025,289.966,0.943725
0.00025,284.951,0.945036
0.00025,279.885,0.945391
0.00025,274.874,0.948155
0.00025,269.91,0.951341
0.00025,264.984,0.954501
0.00025,259.877,0.958511
0.00025,254.992,0.962804
0.00025,249.877,0.96827
0.00025,244.884,0.973177
0.00025,239.884,0.97966
0.00025,234.869,0.986958
0.00025,229.867,0.993951
0.00025,224.877,1.00303
0.00025,219.876,1.01253
0.00025,215.011,1.02253
0.00025,209.867,1.03449
0.00025,204.989,1.04691
0.00025,200.027,1.06055
0.00024,309.763,0.90787
0.00024,305.043,0.907535
0.00024,299.929,0.906447
0.00024,294.966,0.905969
0.00024,289.966,0.907429
0.00024,284.951,0.908849
0.00024,279.885,0.908689
0.00024,274.874,0.91147
0.00024,269.91,0.914725
0.00024,264.984,0.918121
0.00024,259.877,0.921679
0.00024,254.992,0.925478
0.00024,249.877,0.931103
0.00024,244.884,0.935798
0.00024,239.884,0.942123
0.00024,234.869,0.948875
0.00024,229.867,0.955597
0.00024,224.877,0.964227
0.00024,219.876,0.973479
0.00024,215.011,0.983169
0.00024,209.867,0.994694
0.00024,204.989,1.00684
0.00024,200.027,1.01983
0.00023,309.763,0.871045
0.00023,305.043,0.870724
0.00023,299.929,0.86969
0.00023,294.966,0.869505
0.00023,289.966,0.870891
0.00023,284.951,0.871855
0.00023,279.885,0.872261
0.00023,274.874,0.874601
0.00023,269.91,0.877988
0.00023,264.984,0.881305
0.00023,259.877,0.884902
0.00023,254.992,0.888713
0.00023,249.877,0.893862
0.00023,244.884,0.898378
0.00023,239.884,0.904343
0.00023,234.869,0.910932
0.00023,229.867,0.917318
0.00023,224.877,0.925424
0.00023,219.876,0.934477
0.00023,215.011,0.943697
0.00023,209.867,0.954842
0.00023,204.989,0.966602
0.00023,200.027,0.979041
0.00022,309.763,0.834019
0.00022,305.043,0.833754
0.00022,299.929,0.832702
0.00022,294.966,0.83263
0.00022,289.966,0.833893
0.00022,284.951,0.835104
0.00022,279.885,0.835754
0.00022,274.874,0.837676
0.00022,269.91,0.840911
0.00022,264.984,0.844124
0.00022,259.877,0.847631
0.00022,254.992,0.851346
0.00022,249.877,0.856342
0.00022,244.884,0.860627
0.00022,239.884,0.866222
0.00022,234.869,0.872628
0.00022,229.867,0.878776
0.00022,224.877,0.886866
0.00022,219.876,0.895254
0.00022,215.011,0.904009
0.00022,209.867,0.914803
0.00022,204.989,0.926415
0.00022,200.027,0.938216
0.00021,309.763,0.796874
0.00021,305.043,0.796634
0.00021,299.929,0.795669
0.00021,294.966,0.795494
0.00021,289.966,0.796734
0.00021,284.951,0.798026
0.00021,279.885,0.798678
0.00021,274.874,0.8009
0.00021,269.91,0.803659
0.00021,264.984,0.806632
0.00021,259.877,0.810263
0.00021,254.992,0.813951
0.00021,249.877,0.81884
0.00021,244.884,0.822732
0.00021,239.884,0.828333
0.00021,234.869,0.83464
0.00021,229.867,0.840253
0.00021,224.877,0.848053
0.00021,219.876,0.856112
0.00021,215.011,0.864274
0.00021,209.867,0.874555
0.00021,204.989,0.885829
0.00021,200.027,0.897042
0.0002,309.763,0.759614
0.0002,305.043,0.759431
0.0002,299.929,0.758483
0.0002,294.966,0.75824
0.0002,289.966,0.759503
0.0002,284.951,0.760722
0.0002,279.885,0.761517
0.0002,274.874,0.763846
0.0002,269.91,0.766338
0.0002,264.984,0.769105
0.0002,259.877,0.772584
0.0002,254.992,0.77608
0.0002,249.877,0.780873
0.0002,244.884,0.784481
0.0002,239.884,0.790131
0.0002,234.869,0.796119
0.0002,229.867,0.80175
0.0002,224.877,0.80895
0.0002,219.876,0.816632
0.0002,215.011,0.824504
0.0002,209.867,0.834153
0.0002,204.989,0.845125
0.0002,200.027,0.855826
0.00019,309.763,0.722307
0.00019,305.043,0.722102
0.00019,299.929,0.721253
0.00019,294.966,0.72107
0.00019,289.966,0.722185
0.00019,284.951,0.723455
0.00019,279.885,0.724117
0.00019,274.874,0.726478
0.00019,269.91,0.728981
0.00019,264.984,0.731465
0.00019,259.877,0.734769
0.00019,254.992,0.738081
0.00019,249.877,0.742528
0.00019,244.884,0.746412
0.00019,239.884,0.751808
0.00019,234.869,0.757436
0.00019,229.867,0.762865
0.00019,224.877,0.769493
0.00019,219.876,0.777287
0.00019,215.011,0.784561
0.00019,209.867,0.794086
0.00019,204.989,0.804068
0.00019,200.027,0.814173
0.00018,309.763,0.68496
0.00018,305.043,0.684718
0.00018,299.929,0.68388
0.00018,294.966,0.683736
0.00018,289.966,0.684793
0.00018,284.951,0.685991
0.00018,279.885,0.686678
0.00018,274.874,0.688863
0.00018,269.91,0.691262
0.00018,264.984,0.693642
0.00018,259.877,0.696814
0.00018,254.992,0.699927
0.00018,249.877,0.70414
0.00018,244.884,0.708018
0.00018,239.884,0.713051
0.00018,234.869,0.718629
0.00018,229.867,0.723802
0.00018,224.877,0.73022
0.00018,219.876,0.737646
0.00018,215.011,0.744616
0.00018,209.867,0.753675
0.00018,204.989,0.762873
0.00018,200.027,0.772836
0.00017,309.763,0.647428
0.00017,305.043,0.647209
0.00017,299.929,0.646414
0.00017,294.966,0.646287
0.00017,289.966,0.64731
0.00017,284.951,0.648394
0.00017,279.885,0.649076
0.00017,274.874,0.651114
0.00017,269.91,0.653357
0.00017,264.984,0.655707
0.00017,259.877,0.65862
0.00017,254.992,0.661621
0.00017,249.877,0.66559
0.00017,244.884,0.669595
0.00017,239.884,0.674343
0.00017,234.869,0.679302
0.00017,229.867,0.684466
0.00017,224.877,0.690735
0.00017,219.876,0.698006
0.00017,215.011,0.704519
0.00017,209.867,0.713202
0.00017,204.989,0.721468
0.00017,200.027,0.731108
0.00016,309.763,0.609843
0.00016,305.043,0.609615
0.00016,299.929,0.608824
0.00016,294.966,0.608712
0.00016,289.966,0.609664
0.00016,284.951,0.610705
0.00016,279.885,0.611491
0.00016,274.874,0.613284
0.00016,269.91,0.61539
0.00016,264.984,0.617658
0.00016,259.877,0.62038
0.00016,254.992,0.623217
0.00016,249.877,0.626978
0.00016,244.884,0.630788
0.00016,239.884,0.635257
0.00016,234.869,0.64007
0.00016,229.867,0.645177
0.00016,224.877,0.651066
0.00016,219.876,0.65786
0.00016,215.011,0.664287
0.00016,209.867,0.672231
